Articles,TotalWords,Frequency
Article #19,782,1
Article #53,229,2
Article #66,398,3
Article #78,70,1
Article #243,178,3
Article #256,192,1
Article #351,192,1
Article #372,106,2
Article #407,335,2
Article #443,193,1
Article #482,309,6
Article #503,322,3
Article #572,797,2
Article #609,478,1
Article #771,47,1
Article #782,219,1
Article #800,105,1
Article #834,302,1
Article #863,157,1
Article #970,88,2
Article #1041,47,1
Article #1056,280,3
Article #1087,34,2
Article #1108,439,1
Article #1141,174,3
Article #1216,80,1
Article #1257,299,2
Article #1298,209,1
Article #1317,91,1
Article #1325,209,1
Article #1341,140,2
Article #1347,229,3
Article #1426,468,1
Article #1431,261,3
Article #1458,756,1
Article #1549,365,1
